Type,Size,Algorithm,Threshold,Time(ms)
AlmostSorted,14000,MergeHybrid,10,5
AlmostSorted,14000,MergeHybrid,20,4
AlmostSorted,14000,MergeHybrid,30,4
AlmostSorted,14000,MergeHybrid,50,4
AlmostSorted,14500,MergeSort,0,11
AlmostSorted,14500,MergeHybrid,5,6.5
AlmostSorted,14500,MergeHybrid,10,5
AlmostSorted,14500,MergeHybrid,20,4.5
AlmostSorted,14500,MergeHybrid,30,4
AlmostSorted,14500,MergeHybrid,50,4
AlmostSorted,15000,MergeSort,0,11
AlmostSorted,15000,MergeHybrid,5,7
AlmostSorted,15000,MergeHybrid,10,5.5
AlmostSorted,15000,MergeHybrid,20,5
AlmostSorted,15000,MergeHybrid,30,4
AlmostSorted,15000,MergeHybrid,50,4
AlmostSorted,15500,MergeSort,0,12
AlmostSorted,15500,MergeHybrid,5,7
AlmostSorted,15500,MergeHybrid,10,6
AlmostSorted,15500,MergeHybrid,20,5
AlmostSorted,15500,MergeHybrid,30,4
AlmostSorted,15500,MergeHybrid,50,4
AlmostSorted,16000,MergeSort,0,12
AlmostSorted,16000,MergeHybrid,5,7
AlmostSorted,16000,MergeHybrid,10,6
AlmostSorted,16000,MergeHybrid,20,5
AlmostSorted,16000,MergeHybrid,30,5
AlmostSorted,16000,MergeHybrid,50,4
AlmostSorted,16500,MergeSort,0,12.5
AlmostSorted,16500,MergeHybrid,5,7
AlmostSorted,16500,MergeHybrid,10,6
AlmostSorted,16500,MergeHybrid,20,5
AlmostSorted,16500,MergeHybrid,30,5
AlmostSorted,16500,MergeHybrid,50,4
AlmostSorted,17000,MergeSort,0,13
AlmostSorted,17000,MergeHybrid,5,7.5
AlmostSorted,17000,MergeHybrid,10,6
AlmostSorted,17000,MergeHybrid,20,5
AlmostSorted,17000,MergeHybrid,30,5
AlmostSorted,17000,MergeHybrid,50,5
AlmostSorted,17500,MergeSort,0,14
AlmostSorted,17500,MergeHybrid,5,8
AlmostSorted,17500,MergeHybrid,10,6
AlmostSorted,17500,MergeHybrid,20,5
AlmostSorted,17500,MergeHybrid,30,5
AlmostSorted,17500,MergeHybrid,50,5
AlmostSorted,18000,MergeSort,0,14
AlmostSorted,18000,MergeHybrid,5,8
AlmostSorted,18000,MergeHybrid,10,6.5
AlmostSorted,18000,MergeHybrid,20,6
AlmostSorted,18000,MergeHybrid,30,6
AlmostSorted,18000,MergeHybrid,50,5
